ÈÕÆÚ,PM2.5,PM10,SO2,NO2,CO,O3,MAXT,AT,MINT,AH,MAXP,AP,MINP,MAXW,RAIN,MAXR
2021/12/1,47,98,11,62,0.76,11,9.105157,2.63213,-2.555579,0.5441456,972.0556,969.9802,966.9119,1.594313,0,542.9632
2021/12/2,48,103,9,54,0.74,24,12.18487,4.600486,-0.1333069,0.5242047,970.5509,968.2216,965.3263,3.015064,0,567.4673
2021/12/3,57,117,11,64,0.9,13,11.63439,3.41683,-1.46604,0.537506,969.7719,967.5595,966.0188,1.058368,0,540.1472
2021/12/4,79,136,11,66,1,14,11.15734,3.361472,-2.407996,0.581159,969.1616,967.1515,965.6262,1.137077,0,555.7676
2021/12/5,89,137,11,80,1.08,12,13.52114,5.183799,-0.6246094,0.5801586,967.284,965.1245,962.1382,1.903767,0,557.4634
2021/12/6,84,136,12,67,1.07,18,11.01617,5.767053,0.4728027,0.5810468,970.38,967.1545,965.5319,2.097103,0,540.7384
2021/12/7,59,120,12,50,0.86,16,10.90493,8.006704,6.06463,0.3829948,968.5187,966.2273,964.5127,3.771457,0.05234079,322.3178
2021/12/8,66,107,11,54,0.82,14,9.475946,5.958424,1.344171,0.5875856,969.8328,967.8029,965.7623,1.710017,0.08511543,421.9676
2021/12/9,126,168,11,69,1.23,12,10.67458,4.563317,-1.124457,0.7034801,968.0041,965.7108,963.0405,2.044194,0,536.6311
2021/12/10,143,180,9,69,1.38,9,6.282831,4.864044,3.694421,0.8612859,971.0845,967.4662,965.2632,1.816899,4.333044,122.5825
2021/12/11,52,66,6,38,0.85,25,8.404932,6.008932,3.812067,0.8312054,975.8151,972.6451,970.4828,2.56428,4.040311,282.7846
2021/12/12,22,54,7,35,0.53,31,8.183862,5.210806,2.309656,0.6680416,977.3864,974.2956,970.4219,1.76981,0.3084349,530.33
2021/12/13,52,87,11,49,0.9,14,7.187708,2.644371,-1.396857,0.7069288,969.9023,964.3997,960.7518,1.834706,0,404.1536
2021/12/14,80,111,10,57,1.07,17,9.530145,3.5841,-1.471014,0.7535415,961.8384,960.1579,957.0823,1.121512,0,509.1865
2021/12/15,114,150,10,69,1.33,5,6.978082,3.789908,0.5569397,0.7526628,966.2555,961.6304,959.1442,2.05691,0,434.4142
2021/12/16,50,88,9,49,0.83,18,7.69613,3.888221,0.7223755,0.5172894,975.6435,969.8934,965.13,2.879575,0,404.807
2021/12/17,20,66,7,35,0.48,36,3.765009,0.6312131,-2.010107,0.4702235,977.9386,975.3266,972.9388,2.168283,0,365.3983
2021/12/18,30,69,8,49,0.61,27,9.356134,2.491033,-2.216162,0.482962,974.1735,971.333,968.3486,2.430176,0,468.3464
2021/12/19,46,75,9,61,0.85,18,10.81722,3.743143,-2.080695,0.4920156,968.7859,964.8575,961.1636,1.375625,0,526.2849
2021/12/20,39,65,9,57,0.82,21,14.32763,5.276943,-0.1817993,0.4986124,963.3452,960.8671,957.9478,1.926966,0,540.2872
2021/12/21,61,88,11,68,1.02,17,14.4688,5.013912,-1.164404,0.5088209,961.1657,959.2835,957.2014,1.926495,0,549.0153
2021/12/22,100,127,12,70,1.19,18,12.0715,4.763478,-0.4028381,0.605897,963.6146,960.7139,958.7055,2.028029,0,534.1573
2021/12/23,119,139,11,57,1.23,19,6.232935,3.349026,-0.03989258,0.7036171,963.1985,960.4341,958.8586,1.454191,0.5483283,300.2097
2021/12/24,130,137,9,40,1.25,33,8.220239,3.679591,-1.583685,0.758473,970.5027,966.4522,963.2502,2.429543,0.1625046,480.2484
2021/12/25,46,58,7,20,0.71,30,2.885797,-0.6586632,-3.191656,0.8654896,981.5216,975.8198,970.4339,3.145825,6.994807,194.5233
2021/12/26,29,38,8,20,0.58,39,-1.093817,-2.682782,-4.398871,0.5529119,984.2142,981.3535,979.0528,1.915666,0.01794519,440.9174
2021/12/27,49,53,8,28,0.72,29,-0.255957,-2.793873,-5.886328,0.4971967,978.4305,974.1632,970.4616,1.656344,0,427.9886
2021/12/28,67,65,8,24,0.82,44,4.775415,-0.3559364,-4.770361,0.6140377,970.5827,968.1436,965.5113,2.906845,0,546.1838
2021/12/29,52,66,8,32,0.84,37,5.45498,-0.4679118,-3.962469,0.5095496,974.9347,972.3403,970.7032,2.351148,0,557.2145
2021/12/30,65,82,10,42,0.94,29,5.986902,0.1206299,-4.273352,0.52818,974.7888,972.4338,970.9223,1.11814,0,431.6759
2021/12/31,103,113,10,47,1.17,26,5.370844,1.051475,-2.874335,0.5870689,971.9209,969.952,967.5023,1.40564,0.004860106,334.951
