ÈÕÆÚ,PM2.5,PM10,SO2,NO2,CO,O3,MAXT,AT,MINT,AH,MAXP,AP,MINP,MAXW,RAIN,MAXR
2020/12/1,110,126,7,43,1.37,5,9.105157,2.63213,-2.555579,0.5441456,972.0556,969.9802,966.9119,1.594313,0,542.9632
2020/12/2,80,95,7,38,1.26,8,12.18487,4.600486,-0.1333069,0.5242047,970.5509,968.2216,965.3263,3.015064,0,567.4673
2020/12/3,32,48,8,32,0.61,31,11.63439,3.41683,-1.46604,0.537506,969.7719,967.5595,966.0188,1.058368,0,540.1472
2020/12/4,45,64,10,43,0.67,16,11.15734,3.361472,-2.407996,0.581159,969.1616,967.1515,965.6262,1.137077,0,555.7676
2020/12/5,77,98,12,48,0.92,14,13.52114,5.183799,-0.6246094,0.5801586,967.284,965.1245,962.1382,1.903767,0,557.4634
2020/12/6,100,120,15,45,1.02,6,11.01617,5.767053,0.4728027,0.5810468,970.38,967.1545,965.5319,2.097103,0,540.7384
2020/12/7,89,113,13,44,1.08,14,10.90493,8.006704,6.06463,0.3829948,968.5187,966.2273,964.5127,3.771457,0.05234079,322.3178
2020/12/8,83,111,14,48,1.23,17,9.475946,5.958424,1.344171,0.5875856,969.8328,967.8029,965.7623,1.710017,0.08511543,421.9676
2020/12/9,87,106,13,44,0.99,15,10.67458,4.563317,-1.124457,0.7034801,968.0041,965.7108,963.0405,2.044194,0,536.6311
2020/12/10,75,108,11,62,1.03,13,6.282831,4.864044,3.694421,0.8612859,971.0845,967.4662,965.2632,1.816899,4.333044,122.5825
2020/12/11,102,145,12,73,1.26,11,8.404932,6.008932,3.812067,0.8312054,975.8151,972.6451,970.4828,2.56428,4.040311,282.7846
2020/12/12,126,168,13,75,1.32,12,8.183862,5.210806,2.309656,0.6680416,977.3864,974.2956,970.4219,1.76981,0.3084349,530.33
2020/12/13,31,108,8,32,0.51,33,7.187708,2.644371,-1.396857,0.7069288,969.9023,964.3997,960.7518,1.834706,0,404.1536
2020/12/14,33,93,10,43,0.63,18,9.530145,3.5841,-1.471014,0.7535415,961.8384,960.1579,957.0823,1.121512,0,509.1865
2020/12/15,74,128,11,50,0.87,7,6.978082,3.789908,0.5569397,0.7526628,966.2555,961.6304,959.1442,2.05691,0,434.4142
2020/12/16,81,140,12,57,1.08,8,7.69613,3.888221,0.7223755,0.5172894,975.6435,969.8934,965.13,2.879575,0,404.807
2020/12/17,95,141,15,62,0.99,19,3.765009,0.6312131,-2.010107,0.4702235,977.9386,975.3266,972.9388,2.168283,0,365.3983
2020/12/18,52,88,11,51,0.75,25,9.356134,2.491033,-2.216162,0.482962,974.1735,971.333,968.3486,2.430176,0,468.3464
2020/12/19,74,128,13,67,1.08,12,10.81722,3.743143,-2.080695,0.4920156,968.7859,964.8575,961.1636,1.375625,0,526.2849
2020/12/20,77,118,12,71,1.07,12,14.32763,5.276943,-0.1817993,0.4986124,963.3452,960.8671,957.9478,1.926966,0,540.2872
2020/12/21,106,155,13,78,1.37,13,14.4688,5.013912,-1.164404,0.5088209,961.1657,959.2835,957.2014,1.926495,0,549.0153
